Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Arachnogenesis,,,,,,,
main,1,Arcane Signet,,,,,,,
main,1,Awakening Zone,,,,,,,
main,1,Bane of Progress,,,,,,,
main,1,Biogenic Ooze,,,,,,,
main,1,Birthing Pod,,,,,,,
main,1,Branching Evolution,,,,,,,
main,1,Chasm Skulker,,,,,,,
main,1,Chord of Calling,,,,,,,
main,1,Command Beacon,,,,,,,
main,1,Command Tower,,,,,,,
main,1,Defense of the Heart,,,,,,,
main,1,Doubling Season,,,,,,,
main,1,Eldritch Evolution,,,,,,,
main,1,Eternal Witness,,,,,,,
main,1,"Ezuri, Claw of Progress",,,,,,,True
main,1,Farhaven Elf,,,,,,,
main,1,Fathom Mage,,,,,,,
main,1,Flooded Grove,,,,,,,
main,1,From Beyond,,,,,,,
main,1,Fungal Sprouting,,,,,,,
main,1,Genesis Wave,,,,,,,
main,1,Green Sun's Zenith,,,,,,,
main,1,Gyre Sage,,,,,,,
main,1,Hadana's Climb,,,,,,,
main,1,Hinterland Harbor,,,,,,,
main,1,Hooded Hydra,,,,,,,
main,1,Hungering Hydra,,,,,,,
main,1,Inscription of Abundance,,,,,,,
main,1,Kodama's Reach,,,,,,,
main,1,Krosan Grip,,,,,,,
main,1,Lifeblood Hydra,,,,,,,
main,1,Lightning Greaves,,,,,,,
main,1,Master Biomancer,,,,,,,
main,1,Mosswort Bridge,,,,,,,
main,1,Mulldrifter,,,,,,,
main,1,Mycoloth,,,,,,,
main,1,Mystic Reflection,,,,,,,
main,1,Mystical Tutor,,,,,,,
main,1,Natural Order,,,,,,,
main,1,Neoform,,,,,,,
main,1,Nyxbloom Ancient,,,,,,,
main,1,Primal Vigor,,,,,,,
main,1,Prime Speaker Vannifar,,,,,,,
main,1,Rampant Growth,,,,,,,
main,1,Reliquary Tower,,,,,,,
main,1,Return of the Wildspeaker,,,,,,,
main,1,Rishkar's Expertise,,,,,,,
main,1,Sage of Hours,,,,,,,
main,1,Sakashima the Impostor,,,,,,,
main,1,"Selvala, Heart of the Wilds",,,,,,,
main,1,Simic Growth Chamber,,,,,,,
main,1,Simic Signet,,,,,,,
main,1,Skullclamp,,,,,,,
main,19,Snow-Covered Forest,,,,,,,
main,8,Snow-Covered Island,,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Solidarity of Heroes,,,,,,,
main,1,Steelbane Hydra,,,,,,,
main,1,Sword of Body and Mind,,,,,,,
main,1,Sword of Truth and Justice,,,,,,,
main,1,Talisman of Curiosity,,,,,,,
main,1,Temple of Mystery,,,,,,,
main,1,The Great Henge,,,,,,,
main,1,The Ozolith,,,,,,,
main,1,Tooth and Nail,,,,,,,
main,1,Triskelion,,,,,,,
main,1,Uncage the Menagerie,,,,,,,
main,1,Verdant Confluence,,,,,,,
main,1,Vigor,,,,,,,
main,1,Viridian Joiner,,,,,,,
main,1,Worldly Tutor,,,,,,,
main,1,Yavimaya Coast,,,,,,,
main,1,"Yisan, the Wanderer Bard",,,,,,,
main,1,Zendikar Resurgent,,,,,,,
