Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,All Is Dust,,,,,,,
main,1,Ancient Stone Idol,,,,,,,
main,1,Balefire Dragon,,,,,,,
main,1,Blasphemous Act,,,,,,,
main,1,Cathartic Reunion,,,,,,,
main,1,Cavalier of Flame,,,,,,,
main,1,Chain Reaction,,,,,,,
main,1,Chancellor of the Forge,,,,,,,
main,1,Chaos Warp,,,,,,,
main,1,Combat Celebrant,,,,,,,
main,1,"Daretti, Scrap Savant",,,,,,,
main,1,Dockside Extortionist,,,,,,,
main,1,Duplicant,,,,,,,
main,1,"Etali, Primal Storm",,,,,,,
main,1,Everflowing Chalice,,,,,,,
main,1,Extraplanar Lens,,,,,,,
main,1,Faithless Looting,,,,,,,
main,1,Feldon of the Third Path,,,,,,,True
main,1,Fiery Emancipation,,,,,,,
main,1,Fireflux Squad,,,,,,,
main,1,Flamekin Village,,,,,,,
main,1,Geier Reach Sanitarium,,,,,,,
main,1,Ghired's Belligerence,,,,,,,
main,1,Goblin Engineer,,,,,,,
main,1,Goblin Welder,,,,,,,
main,1,Hanweir Battlements,,,,,,,
main,1,Hellkite Tyrant,,,,,,,
main,1,Hoarding Dragon,,,,,,,
main,1,"Ilharg, the Raze-Boar",,,,,,,
main,1,Illusionist's Bracers,,,,,,,
main,1,Ingot Chewer,,,,,,,
main,1,It That Betrays,,,,,,,
main,1,Lightning Greaves,,,,,,,
main,1,Lithoform Engine,,,,,,,
main,1,Magewright's Stone,,,,,,,
main,1,Meteor Golem,,,,,,,
main,1,Mindclaw Shaman,,,,,,,
main,1,Mirage Mirror,,,,,,,
main,1,Molten Primordial,,,,,,,
main,31,Mountain,,,,,,,
main,1,Myriad Landscape,,,,,,,
main,1,"Neheb, Dreadhorde Champion",,,,,,,
main,1,Ox of Agonas,,,,,,,
main,1,Panharmonicon,,,,,,,
main,1,Pathrazer of Ulamog,,,,,,,
main,1,Phyrexian Triniform,,,,,,,
main,1,"Purphoros, Bronze-Blooded",,,,,,,
main,1,"Purphoros, God of the Forge",,,,,,,
main,1,Reforge the Soul,,,,,,,
main,1,Rummaging Goblin,,,,,,,
main,1,Sandstone Oracle,,,,,,,
main,1,Scrap Mastery,,,,,,,
main,1,Shifting Shadow,,,,,,,
main,1,Skullclamp,,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Solemn Simulacrum,,,,,,,
main,1,Spawn of Thraxes,,,,,,,
main,1,Steel Hellkite,,,,,,,
main,1,Sundial of the Infinite,,,,,,,
main,1,Thousand-Year Elixir,,,,,,,
main,1,Thrill of Possibility,,,,,,,
main,1,"Torbran, Thane of Red Fell",,,,,,,
main,1,Trading Post,,,,,,,
main,1,"Ugin, the Ineffable",,,,,,,
main,1,Utvara Hellkite,,,,,,,
main,1,"Valakut, the Molten Pinnacle",,,,,,,
main,1,Vandalblast,,,,,,,
main,1,Warstorm Surge,,,,,,,
main,1,Worn Powerstone,,,,,,,
main,1,Wurmcoil Engine,,,,,,,
