Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Animist's Awakening,,,,,,,
main,1,Apocalypse Hydra,,,,,,,
main,1,Arcane Signet,,,,,,,
main,1,Arch of Orazca,,,,,,,
main,1,Asceticism,,,,,,,
main,1,Astral Cornucopia,,,,,,,
main,1,Banefire,,,,,,,
main,1,Biogenic Upgrade,,,,,,,
main,1,Blast Zone,,,,,,,
main,1,Branching Evolution,,,,,,,
main,1,Burning Anger,,,,,,,
main,1,Capricopian,,,,,,,
main,1,Castle Garenbrig,,,,,,,
main,1,Cinder Glade,,,,,,,
main,1,Clan Defiance,,,,,,,
main,1,Command Tower,,,,,,,
main,1,Cream of the Crop,,,,,,,
main,1,Death's Presence,,,,,,,
main,1,Domri Rade,,,,,,,
main,1,Double Vision,,,,,,,
main,1,Doubling Season,,,,,,,
main,1,Elemental Bond,,,,,,,
main,1,Everflowing Chalice,,,,,,,
main,1,Fiery Emancipation,,,,,,,
main,1,Force of Vigor,,,,,,,
main,12,Forest,,,,,,,
main,1,Fungal Reaches,,,,,,,
main,1,Garruk's Uprising,,,,,,,
main,1,Greater Good,,,,,,,
main,1,Gruul Signet,,,,,,,
main,1,Gruul Turf,,,,,,,
main,1,Heroes' Bane,,,,,,,
main,1,Hour of Promise,,,,,,,
main,1,Hungering Hydra,,,,,,,
main,1,Hydra Broodmaster,,,,,,,
main,1,Hydra's Growth,,,,,,,
main,1,Inspiring Call,,,,,,,
main,1,Ironscale Hydra,,,,,,,
main,1,Kalonian Hydra,,,,,,,
main,1,Karn's Bastion,,,,,,,
main,1,Kessig Wolf Run,,,,,,,
main,1,Lifeblood Hydra,,,,,,,
main,1,Lightning Greaves,,,,,,,
main,1,Mage Slayer,,,,,,,
main,1,Mana Reflection,,,,,,,
main,1,Managorger Hydra,,,,,,,
main,1,Mind Stone,,,,,,,
main,1,Mosswort Bridge,,,,,,,
main,9,Mountain,,,,,,,
main,1,Nissa's Pilgrimage,,,,,,,
main,1,"Nykthos, Shrine to Nyx",,,,,,,
main,1,Nyxbloom Ancient,,,,,,,
main,1,"Oran-Rief, the Vastwood",,,,,,,
main,1,Overwhelming Stampede,,,,,,,
main,1,Primal Vigor,,,,,,,
main,1,Primordial Hydra,,,,,,,
main,1,Protean Hydra,,,,,,,
main,1,Rampant Growth,,,,,,,
main,1,Return of the Wildspeaker,,,,,,,
main,1,Rhythm of the Wild,,,,,,,
main,1,Rogue's Passage,,,,,,,
main,1,Rosheen Meanderer,,,,,,,True
main,1,Savageborn Hydra,,,,,,,
main,1,"Selvala, Heart of the Wilds",,,,,,,
main,1,"Skarrg, the Rage Pits",,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Steelbane Hydra,,,,,,,
main,1,Talisman of Impulse,,,,,,,
main,1,Temple of Abandon,,,,,,,
main,1,The Great Henge,,,,,,,
main,1,The Ozolith,,,,,,,
main,1,Thran Dynamo,,,,,,,
main,1,Traverse the Outlands,,,,,,,
main,1,Ulvenwald Hydra,,,,,,,
main,1,Unbound Flourishing,,,,,,,
main,1,Vigor,,,,,,,
main,1,Voracious Hydra,,,,,,,
main,1,"Vorinclex, Voice of Hunger",,,,,,,
main,1,Warstorm Surge,,,,,,,
main,1,"Xenagos, God of Revels",,,,,,,
main,1,Zendikar Resurgent,,,,,,,
