Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Altar of Shadows,,,,,,,
main,1,Archfiend of Depravity,,,,,,,
main,1,Avatar of Woe,,,,,,,
main,1,Beseech the Queen,,,,,,,
main,1,Betrayal of Flesh,,,,,,,
main,1,Consume the Meek,,,,,,,
main,1,Contagion,,,,,,,
main,1,Corpse Churn,,,,,,,
main,1,Crypt Incursion,,,,,,,
main,1,Deadly Tempest,,,,,,,
main,1,Death Denied,,,,,,,
main,1,Decree of Pain,,,,,,,
main,1,Dismember,,,,,,,
main,1,"Drana, Kalastria Bloodchief",,,,,,,
main,1,Erebos's Intervention,,,,,,,
main,1,"Erebos, God of the Dead",,,,,,,
main,1,Fated Return,,,,,,,
main,1,Final Parting,,,,,,,
main,1,Force of Despair,,,,,,,
main,1,Foul Renewal,,,,,,,
main,1,"Geth, Lord of the Vault",,,,,,,
main,1,Goryo's Vengeance,,,,,,,
main,1,Grave Betrayal,,,,,,,
main,1,Grim Return,,,,,,,
main,1,Heartless Act,,,,,,,
main,1,Hedron Archive,,,,,,,
main,1,"Kokusho, the Evening Star",,,,,,,
main,1,Magus of the Will,,,,,,,
main,1,Massacre Girl,,,,,,,
main,1,Mimic Vat,,,,,,,
main,1,Mirrorpool,,,,,,,
main,1,Moonlight Bargain,,,,,,,
main,1,Necromantic Selection,,,,,,,
main,1,Nevinyrral's Disk,,,,,,,
main,1,Nim Deathmantle,,,,,,,
main,1,"Oathkeeper, Takeno's Daisho",,,,,,,
main,1,Phyrexian Scriptures,,,,,,,
main,1,Plunge into Darkness,,,,,,,
main,1,Reaper from the Abyss,,,,,,,
main,1,Revel in Riches,,,,,,,
main,1,Sangromancer,,,,,,,
main,1,Scour from Existence,,,,,,,
main,1,Shadowspear,,,,,,,
main,1,Shriveling Rot,,,,,,,
main,1,Sickening Shoal,,,,,,,
main,1,Silence the Believers,,,,,,,
main,1,Slaughter Pact,,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Solemn Simulacrum,,,,,,,
main,1,Soul Shatter,,,,,,,
main,1,Sphinx-Bone Wand,,,,,,,
main,1,Succumb to Temptation,,,,,,,
main,1,Sudden Spoiling,,,,,,,
main,1,Suffer the Past,,,,,,,
main,35,Swamp,,,,,,,
main,1,Sword of Sinew and Steel,,,,,,,
main,1,Tendrils of Corruption,,,,,,,
main,1,The Eldest Reborn,,,,,,,
main,1,Thrilling Encore,,,,,,,
main,1,Toshiro Umezawa,,,,,,,True
main,1,Tsabo's Decree,,,,,,,
main,1,Underworld Connections,,,,,,,
main,1,"Vilis, Broker of Blood",,,,,,,
main,1,Vona's Hunger,,,,,,,
main,1,Worn Powerstone,,,,,,,
main,1,Wretched Confluence,,,,,,,
